imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics,budget_,usa_gross_income_,worlwide_gross_income_,usa_revenue,worlwide_revenue,Main Actor,Main Director,Main Writer,Main genre,Main Language,Main Country,movie_ID
tt1067106,A Christmas Carol,A Christmas Carol,2009,2009-12-03,"Animation, Drama, Family",96,USA,English,Robert Zemeckis,"Charles Dickens, Robert Zemeckis",Walt Disney Pictures,"Jim Carrey, Steve Valentine, Daryl Sabara, Sage Ryan, Amber Gainey Meade, Ryan Ochoa, Bobbi Page, Ron Bottitta, Sammi Hanratty, Julian Holloway, Gary Oldman, Colin Firth, Cary Elwes, Robin Wright, Bob Hoskins","An animated retelling of Charles Dickens' classic novel about a Victorian-era miser taken on a journey of self-redemption, courtesy of several mysterious Christmas apparitions.",6.8,98606,$ 200000000,$ 137855863,$ 325286646,55.0,278.0,254.0,200000000.0,137855863.0,325286646.0,-62144137,125286646,Jim Carrey,Robert Zemeckis,Charles Dickens,Animation,English,USA,5552
tt1075417,Corsa a Witch Mountain,Race to Witch Mountain,2009,2009-05-29,"Action, Adventure, Family",98,USA,English,Andy Fickman,"Matt Lopez, Mark Bomback",Walt Disney Pictures,"Dwayne Johnson, AnnaSophia Robb, Alexander Ludwig, Carla Gugino, Ciarán Hinds, Tom Everett Scott, Chris Marquette, Billy Brown, Garry Marshall, Kim Richards, Ike Eisenmann, Tom Woodruff Jr., John Duff, Bob Koherr, Kevin Christy",A Las Vegas cabbie enlists the help of a UFO expert to protect two siblings with paranormal powers from the clutches of an organization that wants to use the kids for their nefarious plans.,5.7,54752,$ 65000000,$ 67172594,$ 106387141,52.0,127.0,172.0,65000000.0,67172594.0,106387141.0,2172594,41387141,Dwayne Johnson,Andy Fickman,Matt Lopez,Action,English,USA,5567
tt1104001,Tron: Legacy,Tron,2010,2010-12-29,"Action, Adventure, Sci-Fi",125,USA,English,Joseph Kosinski,"Edward Kitsis, Adam Horowitz",Walt Disney Pictures,"Jeff Bridges, Garrett Hedlund, Olivia Wilde, Bruce Boxleitner, James Frain, Beau Garrett, Michael Sheen, Anis Cheurfa, Serinda Swan, Yaya DaCosta, Elizabeth Mathis, Yurij Kis, Conrad Coates, Daft Punk, Ron Selmour",The son of a virtual world designer goes looking for his father and ends up inside the digital world that his father designed. He meets his father's corrupted creation and a unique ally who was born inside the digital world.,6.8,309135,$ 170000000,$ 172062763,$ 400062763,49.0,747.0,487.0,170000000.0,172062763.0,400062763.0,2062763,230062763,Jeff Bridges,Joseph Kosinski,Edward Kitsis,Action,English,USA,5610
tt1142977,Frankenweenie,Frankenweenie,2012,2013-01-17,"Animation, Comedy, Family",87,USA,English,Tim Burton,"Leonard Ripps, Tim Burton",Walt Disney Pictures,"Catherine O'Hara, Martin Short, Martin Landau, Charlie Tahan, Atticus Shaffer, Winona Ryder, Robert Capron, James Hiroyuki Liao, Conchata Ferrell, Tom Kenny","When a boy's beloved dog passes away suddenly, he attempts to bring the animal back to life through a powerful science experiment.",6.9,95469,$ 39000000,$ 35291068,$ 81491068,74.0,196.0,389.0,39000000.0,35291068.0,81491068.0,-3708932,42491068,Catherine O'Hara,Tim Burton,Leonard Ripps,Animation,English,USA,5675
tt1204342,I Muppet,The Muppets,2011,2012-02-03,"Adventure, Comedy, Family",120,USA,English,James Bobin,"Jason Segel, Nicholas Stoller",Walt Disney Pictures,"Jason Segel, Amy Adams, Chris Cooper, Rashida Jones, Steve Whitmire, Eric Jacobson, Dave Goelz, Bill Barretta, David Rudman, Matt Vogel, Peter Linz, Alan Arkin, Bill Cobbs, Zach Galifianakis, Ken Jeong",A Muppet fanatic with some help from his 2 human compatriots must regroup the Muppet gang to stop an avaricious oil mogul from taking down one of their precious life-longing treasures.,7.1,86116,$ 45000000,$ 88631237,$ 165184237,75.0,258.0,406.0,45000000.0,88631237.0,165184237.0,43631237,120184237,Jason Segel,James Bobin,Jason Segel,Adventure,English,USA,5773
tt1210819,The Lone Ranger,The Lone Ranger,2013,2013-07-03,"Action, Adventure, Comedy",150,USA,"English, North American Indian",Gore Verbinski,"Justin Haythe, Ted Elliott",Walt Disney Pictures,"Johnny Depp, Armie Hammer, William Fichtner, Tom Wilkinson, Ruth Wilson, Helena Bonham Carter, James Badge Dale, Bryant Prince, Barry Pepper, Mason Cook, JD Cullum, Saginaw Grant, Harry Treadaway, James Frain, Joaquín Cosio","Native American warrior Tonto recounts the untold tales that transformed John Reid, a man of the law, into a legend of justice.",6.4,218067,$ 215000000,$ 89302115,$ 260502115,37.0,770.0,467.0,215000000.0,89302115.0,260502115.0,-125697885,45502115,Johnny Depp,Gore Verbinski,Justin Haythe,Action,English,USA,5785
tt1216475,Cars 2,Cars 2,2011,2011-06-22,"Animation, Adventure, Comedy",106,USA,"English, Japanese, Italian, French","John Lasseter, Bradford Lewis","John Lasseter, Bradford Lewis",Walt Disney Pictures,"Larry the Cable Guy, Owen Wilson, Michael Caine, Emily Mortimer, Eddie Izzard, John Turturro, Brent Musburger, Joe Mantegna, Thomas Kretschmann, Peter Jacobson, Bonnie Hunt, Darrell Waltrip, Franco Nero, David Hobbs, Patrick Walker",Star race car Lightning McQueen and his pal Mater head overseas to compete in the World Grand Prix race. But the road to the championship becomes rocky as Mater gets caught up in an intriguing adventure of his own: international espionage.,6.1,155043,$ 200000000,$ 191452396,$ 559852396,57.0,338.0,319.0,200000000.0,191452396.0,559852396.0,-8547604,359852396,Larry the Cable Guy,John Lasseter,John Lasseter,Animation,English,USA,5802
tt1217209,Ribelle: The Brave,Brave,2012,2012-09-05,"Animation, Adventure, Comedy",93,"USA, UK",English,"Mark Andrews, Brenda Chapman","Brenda Chapman, Mark Andrews",Walt Disney Pictures,"Kelly Macdonald, Billy Connolly, Emma Thompson, Julie Walters, Robbie Coltrane, Kevin McKidd, Craig Ferguson, Sally Kinghorn, Eilidh Fraser, Peigi Barker, Steven Cree, Steve Purcell, Callum O'Neill, Patrick Doyle, John Ratzenberger","Determined to make her own path in life, Princess Merida (Kelly Macdonald) defies a custom that brings chaos to her kingdom. Granted one wish, Merida must rely on her bravery and her archery skills to undo a beastly curse.",7.1,364295,$ 185000000,$ 237283207,$ 538983207,69.0,518.0,509.0,185000000.0,237283207.0,538983207.0,52283207,353983207,Kelly Macdonald,Mark Andrews,Brenda Chapman,Animation,English,USA,5806
tt1298650,Pirati dei Caraibi - Oltre i confini del mare,Pirates of the Caribbean: On Stranger Tides,2011,2011-05-18,"Action, Adventure, Fantasy",137,"USA, UK","English, Spanish",Rob Marshall,"Ted Elliott, Terry Rossio",Walt Disney Pictures,"Johnny Depp, Penélope Cruz, Geoffrey Rush, Ian McShane, Kevin McNally, Sam Claflin, Astrid Bergès-Frisbey, Stephen Graham, Keith Richards, Richard Griffiths, Greg Ellis, Damian O'Hare, Óscar Jaenada, Anton Lesser, Roger Allam","Jack Sparrow and Barbossa embark on a quest to find the elusive fountain of youth, only to discover that Blackbeard and his daughter are after it too.",6.6,472435,$ 250000000,$ 241071802,$ 1045713802,45.0,536.0,468.0,250000000.0,241071802.0,1045713802.0,-8928198,795713802,Johnny Depp,Rob Marshall,Ted Elliott,Action,English,USA,5948
tt1305591,Milo su Marte,Mars Needs Moms,2011,2011-06-01,"Animation, Action, Adventure",88,USA,English,Simon Wells,"Simon Wells, Wendy Wells",Walt Disney Pictures,"Seth Green, Dan Fogler, Joan Cusack, Elisabeth Harnois, Mindy Sterling, Kevin Cahoon, Tom Everett Scott, Jacquie Barnbrook, Matthew Henerson, Adam Jennings, Stephen Kearin, Amber Gainey Meade, Aaron Rapke, Julene Renee, Kirsten Severson",A young boy named Milo gains a deeper appreciation for his mom after Martians come to Earth to take her away.,5.4,20780,$ 150000000,$ 21392758,$ 39233678,49.0,127.0,134.0,150000000.0,21392758.0,39233678.0,-128607242,-110766322,Seth Green,Simon Wells,Simon Wells,Animation,English,USA,5956
