imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics,budget_,usa_gross_income_,worlwide_gross_income_,usa_revenue,worlwide_revenue,Main Actor,Main Director,Main Writer,Main genre,Main Language,Main Country,movie_ID
tt1100119,Il mistero della pietra magica,Shorts,2009,2009-08-21,"Comedy, Family, Fantasy",89,"USA, United Arab Emirates",English,Robert Rodriguez,"Robert Rodriguez, Álvaro Rodríguez",Warner Bros.,"Jimmy Bennett, Jake Short, Kat Dennings, Trevor Gagnon, Devon Gearhart, Jolie Vanier, Rebel Rodriguez, Leo Howard, Leslie Mann, Jon Cryer, William H. Macy, James Spader, Angela Lanza, Alejandro Rose-Garcia, Cambell Westmoreland","A young boy's discovery of a colorful, wish-granting rock causes chaos in the suburban town of Black Falls when jealous kids and scheming adults alike set out to get their hands on it.",4.7,6722,$ 40000000,$ 20919166,$ 28972508,53.0,39.0,101.0,40000000.0,20919166.0,28972508.0,-19080834,-11027492,Jimmy Bennett,Robert Rodriguez,Robert Rodriguez,Comedy,English,USA,5604
tt1119646,Una notte da leoni,The Hangover,2009,2009-06-19,Comedy,100,"USA, Germany",English,Todd Phillips,"Jon Lucas, Scott Moore",Warner Bros.,"Bradley Cooper, Ed Helms, Zach Galifianakis, Justin Bartha, Heather Graham, Sasha Barrese, Jeffrey Tambor, Ken Jeong, Rachael Harris, Mike Tyson, Mike Epps, Jernard Burks, Rob Riggle, Cleo King, Bryan Callen","Three buddies wake up from a bachelor party in Las Vegas, with no memory of the previous night and the bachelor missing. They make their way around the city in order to find their friend before his wedding.",7.7,705947,$ 35000000,$ 277322503,$ 469310836,73.0,726.0,346.0,35000000.0,277322503.0,469310836.0,242322503,434310836,Bradley Cooper,Todd Phillips,Jon Lucas,Comedy,English,USA,5623
tt1130080,The Informant!,The Informant!,2009,2009-09-18,"Biography, Comedy, Crime",108,USA,"English, German",Steven Soderbergh,"Scott Z. Burns, Kurt Eichenwald",Warner Bros.,"Matt Damon, Lucas McHugh Carroll, Eddie Jemison, Rusty Schwimmer, Craig Ricci Shaynak, Tom Papa, Rick Overton, Melanie Lynskey, Thomas F. Wilson, Scott Bakula, Scott Adsit, Ann Dowd, Allan Havey, Howie Johnson, Joel McHale","The U.S. government decides to go after an agro-business giant with a price-fixing accusation, based on the evidence submitted by their star witness, vice president-turned-informant Mark Whitacre.",6.4,62333,$ 22000000,$ 33316821,$ 41771168,66.0,202.0,257.0,22000000.0,33316821.0,41771168.0,11316821,19771168,Matt Damon,Steven Soderbergh,Scott Z. Burns,Biography,English,USA,5650
tt1133985,Lanterna Verde,Green Lantern,2011,2011-08-31,"Action, Adventure, Sci-Fi",114,USA,English,Martin Campbell,"Greg Berlanti, Michael Green",Warner Bros.,"Ryan Reynolds, Blake Lively, Peter Sarsgaard, Mark Strong, Tim Robbins, Jay O. Sanders, Taika Waititi, Angela Bassett, Mike Doyle, Nick Jandl, Dylan James, Gattlin Griffith, Jon Tenney, Leanne Cochran, Temuera Morrison","Reckless test pilot Hal Jordan is granted an alien ring that bestows him with otherworldly powers that inducts him into an intergalactic police force, the Green Lantern Corps.",5.5,263315,$ 200000000,$ 116601172,$ 219851172,39.0,650.0,442.0,200000000.0,116601172.0,219851172.0,-83398828,19851172,Ryan Reynolds,Martin Campbell,Greg Berlanti,Action,English,USA,5659
tt1186367,Ninja Assassin,Ninja Assassin,2009,2009-12-04,"Action, Thriller",99,"Germany, USA, France",English,James McTeigue,"Matthew Sand, J. Michael Straczynski",Warner Bros.,"Rain, Joon Lee, Jonathan Chan-Pensley, Ill-Young Kim, Yuki Iwamoto, Ben Miles, Naomie Harris, Sung Kang, Linh Dan Pham, Fang Yu, Adriana Altaras, Shô Kosugi, Kylie Liya Page, Sungwoong Yoon, Eleonore Weisgerber","A young ninja turns his back on the orphanage that raised him, leading to a confrontation with a fellow ninja from the clan.",6.3,67257,$ 40000000,$ 38122883,$ 61601280,34.0,230.0,245.0,40000000.0,38122883.0,61601280.0,-1877117,21601280,Rain,James McTeigue,Matthew Sand,Action,English,Germany,5741
tt1201607,Harry Potter e i Doni della Morte - Parte 2,Harry Potter and the Deathly Hallows: Part 2,2011,2011-07-13,"Adventure, Drama, Fantasy",130,"UK, USA",English,David Yates,"Steve Kloves, J.K. Rowling",Warner Bros.,"Ralph Fiennes, Michael Gambon, Alan Rickman, Daniel Radcliffe, Rupert Grint, Emma Watson, Evanna Lynch, Domhnall Gleeson, Clémence Poésy, Warwick Davis, John Hurt, Helena Bonham Carter, Graham Duff, Anthony Allgood, Rusty Goffe","Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.",8.1,743339,$ 125000000,$ 381409310,$ 1342166497,85.0,959.0,486.0,125000000.0,381409310.0,1342166497.0,256409310,1217166497,Ralph Fiennes,David Yates,Steve Kloves,Adventure,English,UK,5772
tt1212419,Hereafter,Hereafter,2010,2011-01-05,"Drama, Fantasy, Romance",129,USA,"English, French, German",Clint Eastwood,Peter Morgan,Warner Bros.,"Cécile de France, Thierry Neuvic, Cyndi Mayo, Lisa Griffiths, Jessica Griffiths, Ferguson Reid, Derek Sakakura, Jay Mohr, Richard Kind, Matt Damon, Charlie Creed-Miles, Frankie McLaren, George McLaren, Lyndsey Marshal, Rebekah Staton","A drama centered on three people - a blue-collar American, a French journalist and a London school boy - who are touched by death in different ways.",6.4,89563,$ 50000000,$ 32746941,$ 106956330,56.0,352.0,326.0,50000000.0,32746941.0,106956330.0,-17253059,56956330,Cécile de France,Clint Eastwood,Peter Morgan,Drama,English,USA,5789
tt1219342,Il regno di Ga'Hoole - La leggenda dei guardiani,Legend of the Guardians: The Owls of Ga'Hoole,2010,2010-10-29,"Animation, Action, Adventure",97,"USA, Australia",English,Zack Snyder,"John Orloff, Emil Stern",Warner Bros.,"Emily Barclay, Abbie Cornish, Essie Davis, Adrienne DeFaria, Joel Edgerton, Deborra-Lee Furness, Sacha Horler, Bill Hunter, Ryan Kwanten, Anthony LaPaglia, Miriam Margolyes, Helen Mirren, Sam Neill, Barry Otto, Richard Roxburgh","When a young owl is abducted by an evil Owl army, he must escape with new-found friends and seek the legendary Guardians to stop the menace.",6.9,76832,$ 80000000,$ 55675313,$ 140073390,53.0,182.0,187.0,80000000.0,55675313.0,140073390.0,-24324687,60073390,Emily Barclay,Zack Snyder,John Orloff,Animation,English,USA,5809
tt1226273,Fuori controllo,Edge of Darkness,2010,2010-03-19,"Action, Crime, Drama",117,"UK, USA","English, Latin, French",Martin Campbell,"William Monahan, Andrew Bovell",Warner Bros.,"Mel Gibson, Ray Winstone, Danny Huston, Bojana Novakovic, Shawn Roberts, David Aaron Baker, Jay O. Sanders, Denis O'Hare, Damian Young, Caterina Scorsone, Frank Grillo, Wayne Duvall, Gbenga Akinnagbe, Gabrielle Popa, Paul Sparks","As homicide detective Thomas Craven investigates the murder of his activist daughter, he uncovers a corporate cover-up and government conspiracy that attracts an agent tasked with cleaning up the evidence.",6.6,88601,$ 80000000,$ 43313890,$ 81126522,55.0,289.0,269.0,80000000.0,43313890.0,81126522.0,-36686110,1126522,Mel Gibson,Martin Campbell,William Monahan,Action,English,UK,5823
tt1231583,Parto col folle,Due Date,2010,2011-01-21,"Comedy, Drama",95,USA,"English, Spanish",Todd Phillips,"Alan R. Cohen, Alan Freedland",Warner Bros.,"Robert Downey Jr., Zach Galifianakis, Michelle Monaghan, Jamie Foxx, Juliette Lewis, Danny McBride, RZA, Matt Walsh, Brody Stevens, Jakob Ulrich, Naiia Ulrich, Todd Phillips, Bobby Tisdale, Sharon Conley, Nathalie Fay",High-strung father-to-be Peter Highman is forced to hitch a ride with aspiring actor Ethan Tremblay on a road trip in order to make it to his child's birth on time.,6.5,318791,$ 65000000,$ 100539043,$ 211780824,51.0,320.0,314.0,65000000.0,100539043.0,211780824.0,35539043,146780824,Robert Downey Jr.,Todd Phillips,Alan R. Cohen,Comedy,English,USA,5837
